X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,Y
0,24.92,1.25,2,1,1,0,1,0,0,0,2,80,1,y0
1,25.42,0.54,2,9,4,0.165,0,1,1,0,2,272,445,y0
0,30.58,10.665,2,11,8,0.085,0,1,12,1,2,129,4,y0
0,39.08,4,2,8,4,3,0,0,0,0,2,480,1,y0
1,26.92,2.25,2,3,5,0.5,0,0,0,1,2,640,4001,y0
1,26.75,2,2,2,4,0.75,0,0,0,1,2,80,1,y0
1,49.17,2.29,2,1,1,0.29,0,0,0,0,2,200,4,y0
1,33,2.5,1,9,4,7,0,0,0,1,2,280,1,y0
0,50.25,0.835,2,6,4,0.5,0,0,0,1,2,240,118,y0
1,31.83,2.5,2,6,4,7.5,1,0,0,1,2,523,1,y0
1,19.58,0.585,2,1,1,0,0,1,3,0,2,350,770,y0
1,16.92,0.335,1,4,4,0.29,0,0,0,0,1,200,1,y0
1,28.92,0.375,2,8,4,0.29,0,0,0,0,2,220,141,y0
1,31.57,0.375,2,2,4,0.875,1,0,0,1,1,928,1,y0
0,19.5,0.165,2,11,4,0.04,0,0,0,1,2,380,1,y0
1,17.67,4.46,2,8,4,0.25,0,0,0,0,1,80,1,y0
0,22.75,6.165,2,6,4,0.165,0,0,0,0,2,220,1001,y0
1,63.33,0.54,2,8,4,0.585,1,1,3,1,2,180,1,y0
0,29.5,1.085,1,14,4,1,0,0,0,0,2,280,14,y0
1,17.25,3,2,4,4,0.04,0,0,0,1,2,160,41,y0
1,34.08,6.5,2,6,4,0.125,1,0,0,1,2,443,1,y0
1,37.33,2.665,2,13,4,0.165,0,0,0,1,2,0,502,y0
0,27.67,2.04,2,9,4,0.25,0,0,0,1,2,180,51,y0
0,19.17,5.415,2,3,8,0.29,0,0,0,0,2,80,485,y0
0,24.75,13.665,2,11,8,1.5,0,0,0,0,2,280,2,y0
1,25.17,3,2,8,4,1.25,0,1,1,0,2,0,23,y0
1,33.58,0.25,2,3,5,4,0,0,0,1,1,420,1,y0
0,22.5,8.5,2,11,4,1.75,1,1,10,0,2,80,991,y0
0,22.5,0.415,2,3,4,0.335,0,0,0,1,1,144,1,y0
1,31.58,0.75,1,6,4,3.5,0,0,0,1,2,320,1,y0
1,29.42,1.25,2,9,4,1.75,0,0,0,0,2,200,1,y0
1,36.17,18.125,2,9,4,0.085,0,0,0,0,2,320,3553,y0
0,33.75,0.75,2,4,5,1,1,1,3,1,2,212,1,y0
1,31,2.085,2,8,4,0.085,0,0,0,0,2,300,1,y0
1,26.25,1.54,2,9,4,0.125,0,0,0,0,2,100,1,y0
0,31.75,3,1,5,3,0,0,0,0,0,2,160,21,y0
1,34.58,0,2,8,4,0,0,0,0,0,3,184,1,y0
1,30.17,1.085,1,8,4,0.04,0,0,0,0,2,170,180,y0
0,30.42,1.375,2,9,8,0.04,0,1,3,0,2,0,34,y0
1,54.58,9.415,2,1,1,14.415,1,1,11,1,2,30,301,y1
1,21.83,11,2,14,4,0.29,1,1,6,0,2,121,1,y1
1,18,0.165,2,11,7,0.21,0,0,0,0,2,200,41,y1
0,22.58,10.75,2,11,4,0.415,1,1,5,1,2,0,561,y1
1,32.25,0.165,1,8,8,3.25,1,1,1,1,2,432,8001,y1
1,37.42,2.04,2,9,4,0.04,1,0,0,1,2,400,5801,y1
0,28.5,3.04,1,14,8,2.54,1,1,1,0,2,70,1,y1
0,36,1,2,8,4,2,1,1,11,0,2,0,457,y1
0,45.83,10.5,2,11,4,5,1,1,7,1,2,0,1,y1
1,21.33,7.5,2,6,4,1.415,1,1,1,0,2,80,9801,y1
1,65.42,11,2,10,9,20,1,1,7,1,2,22,1,y1
1,19.17,9.5,2,9,4,1.5,1,0,0,0,2,120,2207,y1
0,60.58,16.5,2,11,4,11,1,0,0,1,2,21,10562,y1
1,67.75,5.5,2,10,9,13,1,1,1,1,2,0,1,y1
1,48.58,0.205,1,4,4,0.25,1,1,11,0,2,380,2733,y1
1,23.17,11.125,2,14,8,0.46,1,1,1,0,2,100,1,y1
1,32.67,9,1,9,8,5.25,1,0,0,1,2,154,1,y1
0,18.92,9.25,1,8,4,1,1,1,4,1,2,80,501,y1
1,31.92,4.46,2,13,8,6.04,1,1,3,0,2,311,301,y1
1,36.67,3.25,2,11,8,9,1,0,0,1,2,102,640,y1
1,39,5,2,13,4,3.5,1,1,10,1,2,0,1,y1
0,36.75,5.125,2,10,4,5,1,0,0,1,2,0,4001,y1
1,25.75,0.5,2,8,4,1.46,1,1,5,1,2,312,1,y1
1,51.33,10,2,3,5,0,1,1,11,0,2,0,1250,y1
0,28.17,0.375,2,11,4,0.585,1,1,4,0,2,80,1,y1
1,44.33,0.5,2,3,8,5,1,0,0,1,2,320,1,y1
1,23.92,1.5,2,2,8,1.875,1,1,6,0,2,200,328,y1
1,20.17,8.17,2,6,4,1.96,1,1,14,0,2,60,159,y1
0,28.42,3.5,2,9,4,0.835,1,0,0,0,1,280,1,y1
0,20.42,7.5,2,4,4,1.5,1,1,1,0,2,160,235,y1
0,24.5,1.75,1,8,4,0.165,0,0,0,0,2,132,1,y0
0,19.58,0.665,1,8,4,1,0,1,1,0,2,2000,3,y0
0,20.83,0.5,1,10,2,1,0,0,0,0,2,260,1,y0
0,23.5,1.5,2,9,4,0.875,0,0,0,1,2,160,1,y0
1,17.92,0.205,2,6,4,0.04,0,0,0,0,2,280,751,y0
0,25.33,2.085,2,8,8,2.75,1,0,0,1,2,360,2,y0
0,40.83,3.5,2,3,5,0.5,0,0,0,0,1,1160,1,y0
1,34.17,2.75,2,3,5,2.5,0,0,0,1,2,232,201,y0
1,22.58,1.5,1,6,4,0.54,0,0,0,1,2,120,68,y0
0,22.92,1.25,2,11,4,0.25,0,0,0,1,2,120,810,y0
0,17.33,9.5,2,6,4,1.75,0,1,10,1,2,0,11,y0
1,35.25,3.165,2,14,8,3.75,1,0,0,1,2,680,1,y0
1,40.92,0.835,2,1,1,0,1,0,0,0,2,130,2,y0
1,21.5,9.75,2,8,4,0.25,1,0,0,0,2,140,1,y0
0,16.5,1.25,2,11,4,0.25,0,1,1,0,2,108,99,y0
1,32.42,2.165,1,4,1,0,0,0,0,0,2,120,1,y0
1,32.33,2.5,2,8,4,1.25,0,0,0,1,2,280,1,y0
1,48.08,3.75,2,3,5,1,0,0,0,0,2,100,3,y0
1,20.67,0.415,2,8,4,0.125,0,0,0,0,2,0,45,y0
1,21.42,0.75,1,12,7,0.75,0,0,0,1,2,132,3,y0
0,38.75,1.5,2,1,1,0,0,0,0,0,2,76,1,y0
1,25.83,12.835,2,13,4,0.5,0,0,0,0,2,0,3,y0
0,19.58,0.665,2,9,4,1.665,0,0,0,0,2,220,6,y0
1,25.92,0.875,2,4,4,0.375,0,1,2,1,2,174,4,y0
1,44.83,7,1,8,4,1.625,0,0,0,0,2,160,3,y0
1,23.92,0.585,1,13,8,0.125,0,0,0,0,2,240,2,y0
1,18.83,3.54,1,1,1,0,0,0,0,1,2,180,2,y0
1,19.42,1.5,1,13,4,2,1,0,0,1,2,100,21,y0
1,23.08,0,2,4,4,1,0,1,11,0,1,0,1,y0
1,36.33,3.79,2,9,4,1.165,1,0,0,1,2,200,1,y0
0,17.92,10.21,2,1,1,0,0,0,0,0,2,0,51,y0
1,29.5,0.58,2,9,4,0.29,0,1,1,0,2,340,2804,y0
1,41.58,1.75,2,4,4,0.21,1,0,0,0,2,160,1,y0
1,21.08,10.085,1,10,8,1.25,0,0,0,0,2,260,1,y0
1,18.08,6.75,1,7,4,0.04,0,0,0,0,2,140,1,y0
1,18.33,1.21,1,10,2,0,0,0,0,0,2,100,1,y0
1,25,12,2,4,4,2.25,1,1,2,1,2,120,6,y0
1,32.25,14,1,1,1,0,0,1,2,0,2,160,2,y0
1,23.5,2.75,2,1,1,4.5,0,0,0,0,2,160,26,y0
1,27.67,2,2,14,8,1,1,1,4,0,2,140,7545,y1
1,23.25,4,2,8,5,0.25,1,0,0,1,2,160,1,y1
0,57.08,19.5,2,8,4,5.5,1,1,7,0,2,0,3001,y1
0,20.67,3,2,11,4,0.165,1,1,3,0,2,100,7,y1
1,54.42,0.5,1,4,8,3.96,1,0,0,0,2,180,315,y1
0,18.42,9.25,2,11,4,1.21,1,1,4,0,2,60,541,y1
1,26.67,1.75,1,8,4,1,1,1,5,1,2,160,5778,y1
0,29.5,0.46,2,4,4,0.54,1,1,4,0,2,380,501,y1
1,24.17,0.875,2,11,4,4.625,1,1,2,1,2,520,2001,y1
0,18.08,0.375,3,13,1,10,0,0,0,1,1,300,1,y1
1,34.17,5.25,2,9,4,0.085,0,0,0,1,2,290,7,y1
0,47.42,8,2,10,5,6.5,1,1,6,0,2,375,51101,y1
1,33.58,2.75,2,7,4,4.25,1,1,6,0,2,204,1,y1
0,22.42,11.25,1,14,8,0.75,1,1,4,0,2,0,322,y1
1,42,0.205,2,3,8,5.125,1,0,0,0,2,400,1,y1
0,65.17,14,2,1,1,0,1,1,11,1,2,0,1401,y1
1,20.42,1.835,2,8,4,2.25,1,1,1,0,2,100,151,y1
1,26.67,4.25,2,13,4,4.29,1,1,1,1,2,120,1,y1
0,52.83,15,2,8,4,5.5,1,1,14,0,2,0,2201,y1
0,68.67,15,2,10,9,0,1,1,14,0,2,0,3377,y1
0,22.83,2.29,2,11,8,2.29,1,1,7,1,2,140,2385,y1
0,60.92,5,2,6,4,4,1,1,4,0,2,0,100,y1
0,41,2.04,1,11,8,0.125,1,1,23,1,2,455,1237,y1
1,23.92,0.665,2,8,4,0.165,0,0,0,0,2,100,1,y1
1,22.67,0.165,2,8,3,2.25,0,0,0,1,1,0,1,y1
1,31.57,10.5,2,14,4,6.5,1,0,0,0,2,0,1,y1
0,49.83,13.585,2,4,8,8.5,1,0,0,1,2,0,1,y1
0,20.75,10.25,2,11,4,0.71,1,1,2,1,2,49,1,y1
1,20.25,9.96,2,10,2,0,1,0,0,0,2,0,1,y1
0,20.5,11.835,2,8,8,6,1,0,0,0,2,340,1,y1
1,22.92,3.165,1,8,4,0.165,0,0,0,0,2,160,1059,y0
0,22.67,0.335,2,11,4,0.75,0,0,0,0,1,160,1,y0
1,22.17,12.125,2,8,4,3.335,0,1,2,1,2,180,174,y0
1,20.08,0.25,2,11,4,0.125,0,0,0,0,2,200,1,y0
1,19.67,10,1,4,8,0.835,1,0,0,1,2,140,1,y0
1,39.58,5,2,1,1,0,0,1,2,0,2,17,2,y0
1,23,0.75,2,7,4,0.5,1,0,0,1,1,320,1,y0
1,35.58,0.75,2,4,4,1.5,0,0,0,1,2,231,1,y0
1,48.75,26.335,1,1,1,0,1,0,0,1,2,0,1,y0
1,21.17,0.25,1,8,8,0.25,0,0,0,0,2,280,205,y0
1,16.5,0.125,2,8,4,0.165,0,0,0,0,2,132,1,y0
0,57.08,0.335,2,3,5,1,1,0,0,1,2,252,2198,y0
1,18.58,10.29,2,1,1,0.415,0,0,0,0,2,80,1,y0
1,32.75,2.335,2,2,8,5.75,0,0,0,1,2,292,1,y0
1,42.83,1.25,2,7,4,13.875,0,1,1,1,2,352,113,y0
1,34,5.085,1,3,5,1.085,0,0,0,1,2,480,1,y0
1,28,3,2,9,4,0.75,0,0,0,1,2,300,68,y0
1,54.83,15.5,2,10,9,0,1,1,20,0,2,152,131,y0
1,16.33,4.085,2,3,8,0.415,0,0,0,1,2,120,1,y0
1,17.08,0.085,1,8,4,0.04,0,0,0,0,2,140,723,y0
1,31.57,0.04,1,2,4,4.25,0,0,0,1,2,460,1,y0
