X1,X2,X3,X4,X5,X6,X7,Y
0,0,1,0,0,1,0,y1
0,0,0,0,0,1,0,y1
0,0,1,1,0,1,0,y1
0,0,0,0,0,1,0,y1
0,0,1,0,1,1,0,y1
0,0,1,0,0,1,0,y1
0,1,1,0,0,1,0,y1
0,0,1,0,0,0,0,y1
0,0,1,0,0,1,0,y1
1,0,1,1,0,1,0,y1
1,0,1,0,0,1,0,y1
0,0,1,0,0,1,0,y1
0,0,1,1,0,1,0,y1
0,1,1,0,0,1,0,y1
0,1,1,0,0,1,0,y1
0,0,1,0,0,1,0,y1
0,0,1,0,0,1,0,y1
0,0,1,0,0,1,0,y1
1,0,1,1,0,1,0,y1
0,0,1,0,0,1,0,y1
0,0,0,0,0,1,0,y1
0,0,1,0,0,0,0,y1
1,0,1,0,0,1,0,y1
0,0,1,0,0,0,0,y1
0,0,0,0,1,1,0,y1
1,0,1,0,0,1,0,y1
0,0,1,0,0,1,0,y1
0,0,1,0,0,1,0,y1
0,0,1,0,0,1,0,y1
0,0,1,0,0,1,0,y1
1,1,1,0,0,1,0,y1
0,1,1,0,1,1,0,y1
0,0,1,0,0,0,0,y1
0,0,1,0,0,1,0,y1
1,1,1,1,0,1,1,y9
1,1,1,1,0,1,1,y9
1,1,0,1,1,1,1,y9
1,1,1,1,0,1,1,y9
1,1,1,1,0,1,1,y9
1,1,1,0,0,1,1,y9
0,1,1,1,0,1,1,y9
1,1,1,1,0,0,1,y9
1,0,1,1,0,1,1,y9
1,1,0,1,0,1,1,y9
0,1,1,1,1,1,1,y9
1,0,1,1,0,1,1,y9
1,1,1,1,0,1,0,y9
1,1,1,1,0,1,1,y9
1,1,1,1,0,1,1,y9
1,1,1,1,0,1,1,y9
1,1,1,1,0,1,0,y9
1,1,1,1,0,1,1,y9
0,1,1,1,1,1,1,y9
1,1,1,1,0,1,1,y9
0,1,0,1,0,0,1,y9
1,1,1,1,0,1,1,y9
1,1,0,1,0,1,1,y9
1,1,1,1,0,1,1,y9
0,0,0,1,0,1,1,y9
1,1,1,1,0,1,1,y9
1,1,1,1,0,0,1,y9
1,0,1,1,0,1,0,y9
1,1,1,1,0,1,1,y9
1,1,1,1,0,1,1,y9
1,1,1,0,0,1,1,y9
1,0,1,0,1,1,0,y3
1,0,1,1,0,1,1,y3
1,0,1,1,0,1,1,y3
1,0,1,1,1,1,1,y3
1,0,1,1,0,1,1,y3
1,0,0,1,0,1,1,y3
1,0,1,1,0,1,1,y3
1,0,1,1,0,1,1,y3
1,0,1,1,0,1,1,y3
1,0,1,1,0,1,1,y3
1,0,1,1,0,1,1,y3
1,0,1,1,0,1,1,y3
1,0,1,1,0,1,1,y3
1,0,1,1,0,1,1,y3
0,0,1,1,0,1,1,y3
1,0,1,1,0,1,1,y3
1,1,1,1,0,1,1,y3
1,0,1,1,0,0,1,y3
1,0,1,1,0,1,1,y3
1,1,1,1,0,1,1,y3
1,0,0,0,0,1,1,y3
1,0,1,1,0,1,1,y3
1,0,1,1,0,1,0,y3
1,0,1,1,0,0,0,y3
1,0,1,1,0,1,0,y3
1,0,1,1,0,1,1,y3
1,1,1,1,1,0,1,y3
1,1,1,1,0,1,0,y4
0,1,1,1,0,1,0,y4
0,1,1,1,0,1,0,y4
0,1,1,1,0,1,1,y4
0,1,1,0,0,1,0,y4
0,1,1,1,0,1,0,y4
0,1,1,1,1,0,0,y4
0,1,1,0,1,1,0,y4
0,1,1,1,0,1,0,y4
0,1,1,0,0,1,0,y4
0,1,1,1,0,1,0,y4
0,1,1,1,0,1,0,y4
0,1,1,1,0,1,0,y4
0,1,1,1,0,1,0,y4
0,1,1,1,0,1,0,y4
0,1,1,1,1,1,0,y4
0,1,0,0,0,1,0,y4
0,1,1,1,1,1,0,y4
0,1,1,1,1,1,0,y4
0,1,1,1,0,1,0,y4
0,1,1,1,0,1,0,y4
0,1,1,1,0,1,1,y4
0,0,1,1,0,1,0,y4
0,1,1,1,0,1,0,y4
0,1,1,1,0,0,0,y4
0,1,1,1,0,1,0,y4
0,1,1,1,0,1,0,y4
1,1,1,1,0,0,1,y4
0,1,1,1,0,1,0,y4
0,1,1,1,0,1,0,y4
1,1,1,1,1,1,0,y4
0,1,1,1,0,1,0,y4
