X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,Y
-1.02,1.23,-0.02,1.56,1.8,2.14,4.06,5.42,5.42,5.44,4.77,3.99,1.92,3.18,0.23,1.46,0.2,-0.81,0.05,0.47,-1.43,y1
-1.31,-0.15,0.28,0.2,0.31,2.59,3.24,4.04,4.96,5.71,6.31,3.21,2.27,2.33,3.72,0.7,1.53,-1.04,0.53,-1.34,-0.57,y1
-0.05,2.12,3.05,3.1,3.24,5.92,5.32,4.66,3.91,2.21,1.57,1.96,0.08,1.09,1,0.24,1.19,-1.25,1.32,-1.44,-0.16,y1
0.52,-0.01,0.55,0.9,2.42,2.25,5.36,4.71,4.1,4.69,5.4,2,1.48,0.61,-0.36,0.44,0.77,0.16,0.13,1.22,0.22,y1
0.64,0.14,-1.23,-0.7,0.34,2.17,3.45,3.93,3.68,4.08,3.66,3.38,4.27,2.39,3.66,2.51,1.62,0.85,-0.43,-0.35,-0.19,y1
1.39,2.5,1.69,2.67,2.28,4.09,2.59,4.89,2.01,6.32,4.5,3.12,0.96,1.32,1.26,0.63,0.41,-1.22,-0.79,1.06,0.16,y1
1.92,-0.78,-0.93,1.03,1.45,1.84,3.28,3.99,4.7,4.09,4.7,5.84,3.02,1.89,2.23,1.9,0.71,-0.26,0.3,0.95,0.94,y1
-2.69,0.25,1.14,1.4,2.82,2.82,4.02,5.76,3.73,3.71,4.21,1.72,1.87,1.4,0.62,-1.07,0.31,-1.24,-0.58,-0.16,-1.23,y1
0.64,1.22,2,3.77,4.3,3.89,5.08,3.78,6.04,2.73,2.42,0.67,0.4,-0.23,0.58,-1.92,-0.21,-1.27,-0.58,-0.23,-0.01,y1
0.01,-0.47,-0.2,2.71,3.35,2.47,5.84,5.33,4.46,4.58,2.34,-0.02,-1.51,0.24,-1.62,-1.04,0.61,-0.32,-0.49,0.33,0.78,y1
-0.79,0.61,0.26,-0.32,-0.4,-0.95,0.37,2.88,3.43,5.25,5.31,2.67,5.56,1.43,0.75,2.59,0.03,-1.56,0.15,-0.92,0.96,y1
0.41,-1.23,1.21,0.08,0.53,1.51,2.2,3.56,3.01,4.16,3.71,3.84,3.51,1.45,2.41,2.52,2.28,0.51,0.32,0.42,-0.33,y1
-0.79,1.49,-0.69,0.81,3.43,4.83,2.43,2.63,4.86,5.24,4.55,2.56,2.69,2.2,2.77,-0.21,0.46,0.37,-1.84,-0.23,-1.44,y1
-1.18,1.72,0.21,-1.54,1.11,-0.61,0.29,3.15,3.26,4.27,5.59,5.65,1.68,1.52,2.6,1.24,-1.3,1.09,-0.91,-2.04,1.07,y1
-1.86,-0.42,0.72,3.9,2.87,2.16,5.7,3.13,3.6,3.7,2.62,1.22,-0.48,1.27,-0.35,1.73,1.59,0.09,-0.04,0.27,0.39,y1
1.07,0,-0.6,-0.41,1.27,3.98,3.27,2.87,4.31,6.21,5.9,3.81,1.11,4.1,2.52,0.33,0.94,1.01,0.6,0.79,0.83,y1
0.34,1.66,1.15,4.03,2.87,3.57,6.65,5.27,4.27,1.39,2.52,0.28,0.29,-0.77,-0.25,0.88,-1.07,-0.55,0.72,0.2,0.46,y1
0.46,-0.09,-0.26,0.3,1.32,1.59,3.98,2.55,5.08,5.75,6.18,4.96,3.55,0.85,3.21,1.02,0.82,1.27,0.95,1.4,0.15,y1
0.31,1.08,1,0.18,1.65,1.03,4.96,2.56,2.98,3.36,3.08,3.03,2.44,2.16,0.74,1.47,0.3,-0.61,-1.7,1.39,-1.44,y1
-0.24,0.51,0,0.93,1.1,3.39,4.06,3.6,4.16,4.4,6.21,4.43,2.45,1.3,1.83,0.6,0.58,1.18,-1,-1.33,-0.66,y1
-0.24,0.34,0.3,2.75,1.47,3.92,5.68,3.86,3.73,4.15,3.25,2.1,3.47,3.65,1.77,-0.2,-1.18,-0.27,-0.27,0.7,0.55,y1
